state,year,itc,rnd,G_rnd,G_itc,delta_rnd,has_rnd,delta_itc,has_itc,G_both,has_both
MA,1995,.0016,.0026,1991,1990,0,1,0,1,1990,1
MA,1996,.00159,.0025899999,1991,1990,-.000010000076,1,-9.9999597e-06,1,1990,1
MA,1997,.00159,.0025800001,1991,1990,-9.9998433e-06,1,0,1,1990,1
MA,1998,.00157,.0025599999,1991,1990,-.000020000152,1,-.000020000036,1,1990,1
MA,1999,.00156,.00254,1991,1990,-.000019999919,1,-9.9999597e-06,1,1990,1
MA,2000,.00156,.0025200001,1991,1990,-.000019999919,1,0,1,1990,1
MA,2001,.00156,.00251,1991,1990,-.000010000076,1,0,1,1990,1
MA,2002,.00155,.00251,1991,1990,0,1,-9.9999597e-06,1,1990,1
MA,2003,.00155,.00251,1991,1990,0,1,0,1,1990,1
MA,2004,.00155,.0025200001,1991,1990,.000010000076,1,0,1,1990,1
MA,2005,.00155,.0025299999,1991,1990,9.9998433e-06,1,0,1,1990,1
MA,2006,.00156,.0025299999,1991,1990,0,1,9.9999597e-06,1,1990,1
MA,2007,.00156,.00254,1991,1990,.000010000076,1,0,1,1990,1
MA,2008,.00159,.00254,1991,1990,0,1,.000029999996,1,1990,1
MA,2009,.0020600001,.00257,1991,1990,.000029999996,1,.00047000009,1,1990,1
MA,2010,.0020300001,.0025299999,1991,1990,-.000040000072,1,-.000029999996,1,1990,1
MD,1990,0,0,2000,0,0,0,0,0,2000,0
MD,1991,0,0,2000,0,0,0,0,0,2000,0
MD,1992,0,0,2000,0,0,0,0,0,2000,0
MD,1993,0,0,2000,0,0,0,0,0,2000,0
MD,1994,0,0,2000,0,0,0,0,0,2000,0
MD,1995,0,0,2000,0,0,0,0,0,2000,0
MD,1996,0,0,2000,0,0,0,0,0,2000,0
MD,1997,0,0,2000,0,0,0,0,0,2000,0
MD,1998,0,0,2000,0,0,0,0,0,2000,0
MD,1999,0,0,2000,0,0,0,0,0,2000,0
MD,2000,0,.00263,2000,0,.00263,1,0,0,2000,1
MD,2001,0,.0025500001,2000,0,-.000079999911,1,0,0,2000,1
MD,2002,0,.0025500001,2000,0,0,1,0,0,2000,1
MD,2003,0,.0025500001,2000,0,0,1,0,0,2000,1
MD,2004,0,.0025599999,2000,0,9.9998433e-06,1,0,0,2000,1
MD,2005,0,.0025599999,2000,0,0,1,0,0,2000,1
MD,2006,0,.0025800001,2000,0,.000020000152,1,0,0,2000,1
MD,2007,0,.0025800001,2000,0,0,1,0,0,2000,1
MD,2008,0,.00266,2000,0,.000079999911,1,0,0,2000,1
MD,2009,0,.00266,2000,0,0,1,0,0,2000,1
MD,2010,0,.00266,2000,0,0,1,0,0,2000,1
MI,1990,0,0,2008,2000,0,0,0,0,2000,0
MI,1991,0,0,2008,2000,0,0,0,0,2000,0
MI,1992,0,0,2008,2000,0,0,0,0,2000,0
MI,1993,0,0,2008,2000,0,0,0,0,2000,0
MI,1994,0,0,2008,2000,0,0,0,0,2000,0
MI,1995,0,0,2008,2000,0,0,0,0,2000,0
MI,1996,0,0,2008,2000,0,0,0,0,2000,0
MI,1997,0,0,2008,2000,0,0,0,0,2000,0
MI,1998,0,0,2008,2000,0,0,0,0,2000,0
MI,1999,0,0,2008,2000,0,0,0,0,2000,0
MI,2000,.00102,0,2008,2000,0,0,.00102,1,2000,1
MI,2001,.00096999999,0,2008,2000,0,0,-.000049999973,1,2000,1
MI,2002,.00092000002,0,2008,2000,0,0,-.000049999973,1,2000,1
MI,2003,.00092000002,0,2008,2000,0,0,0,1,2000,1
MI,2004,.00092000002,0,2008,2000,0,0,0,1,2000,1
MI,2005,.00092000002,0,2008,2000,0,0,0,1,2000,1
MI,2006,.00092000002,0,2008,2000,0,0,0,1,2000,1
MI,2007,.00092000002,0,2008,2000,0,0,0,1,2000,1
MI,2008,.00034,.00082999998,2008,2000,.00082999998,1,-.00057999999,1,2000,1
MI,2009,.00033000001,.00102,2008,2000,.00018999999,1,-9.9999888e-06,1,2000,1
MI,2010,.00036000001,.00102,2008,2000,0,1,.000029999996,1,2000,1
MN,1990,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1991,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1992,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1993,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1994,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1995,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1996,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1997,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1998,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,1999,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2000,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2001,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2002,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2003,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2004,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2005,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2006,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2007,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2008,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2009,0,.00066999998,1990,0,0,1,0,0,1990,1
MN,2010,0,0,1990,0,-.00066999998,0,0,0,1990,0
MO,1990,0,0,2001,0,0,0,0,0,2001,0
MO,1991,0,0,2001,0,0,0,0,0,2001,0
MO,1992,0,0,2001,0,0,0,0,0,2001,0
MO,1993,0,0,2001,0,0,0,0,0,2001,0
MO,1994,0,0,2001,0,0,0,0,0,2001,0
MO,1995,0,0,2001,0,0,0,0,0,2001,0
MO,1996,0,0,2001,0,0,0,0,0,2001,0
MO,1997,0,0,2001,0,0,0,0,0,2001,0
MO,1998,0,0,2001,0,0,0,0,0,2001,0
MO,1999,0,0,2001,0,0,0,0,0,2001,0
MO,2000,0,0,2001,0,0,0,0,0,2001,0
MO,2001,0,.00025000001,2001,0,.00025000001,1,0,0,2001,1
MO,2002,0,.00025000001,2001,0,0,1,0,0,2001,1
MO,2003,0,.00025000001,2001,0,0,1,0,0,2001,1
MO,2004,0,.00025000001,2001,0,0,1,0,0,2001,1
MO,2005,0,0,2001,0,-.00025000001,0,0,0,2001,0
MO,2006,0,0,2001,0,0,0,0,0,2001,0
MO,2007,0,0,2001,0,0,0,0,0,2001,0
MO,2008,0,0,2001,0,0,0,0,0,2001,0
MO,2009,0,0,2001,0,0,0,0,0,2001,0
MO,2010,0,0,2001,0,0,0,0,0,2001,0
NC,1990,0,0,1996,1996,0,0,0,0,1996,0
NC,1991,0,0,1996,1996,0,0,0,0,1996,0
NC,1992,0,0,1996,1996,0,0,0,0,1996,0
NC,1993,0,0,1996,1996,0,0,0,0,1996,0
NC,1994,0,0,1996,1996,0,0,0,0,1996,0
NC,1995,0,0,1996,1996,0,0,0,0,1996,0
NC,1996,.0025500001,.00109,1996,1996,.00109,1,.0025500001,1,1996,1
NC,1997,.0024900001,.00106,1996,1996,-.000029999996,1,-.000059999991,1,1996,1
NC,1998,.00248,.00106,1996,1996,0,1,-.000010000076,1,1996,1
NC,1999,.00241,.00103,1996,1996,-.000029999996,1,-.000070000067,1,1996,1
NC,2000,.00241,.00102,1996,1996,-.000010000076,1,0,1,1996,1
NC,2001,.00242,.00102,1996,1996,0,1,.000010000076,1,1996,1
NC,2002,.00171,.00116,1996,1996,.00014000002,1,-.00071000005,1,1996,1
NC,2003,.00171,.00116,1996,1996,0,1,0,1,1996,1
NC,2004,.00171,.00119,1996,1996,.000029999996,1,0,1,1996,1
NC,2005,.0017,.00118,1996,1996,-9.9999597e-06,1,-9.9999597e-06,1,1996,1
NC,2006,.0017,.00053000002,1996,1996,-.00065,1,0,1,1996,1
NC,2007,.00147,.00066999998,1996,1996,.00013999996,1,-.00023000001,1,1996,1
NC,2008,.0015,.00066999998,1996,1996,0,1,.000029999996,1,1996,1
NC,2009,.00148,.00066999998,1996,1996,0,1,-.000020000036,1,1996,1
NC,2010,.00147,.00066999998,1996,1996,0,1,-9.9999597e-06,1,1996,1
NE,1990,.01067,0,2006,1990,0,0,0,1,1990,1
NE,1991,.01097,0,2006,1990,0,0,.00030000042,1,1990,1
NE,1992,.01074,0,2006,1990,0,0,-.00023000035,1,1990,1
NE,1993,.01075,0,2006,1990,0,0,.000010000542,1,1990,1
NE,1994,.01075,0,2006,1990,0,0,0,1,1990,1
NE,1995,.01076,0,2006,1990,0,0,9.9996105e-06,1,1990,1
NE,1996,.01081,0,2006,1990,0,0,.000049999915,1,1990,1
